    employee_id,    first_name,    employment_status,EmployeeStatus,    level,CurrentSalary,    work_location,DepartmentBU,ManagerName,    skills,    AllocationStartDate,    AllocationEndDate,Utilization,EmployeeStatus.1,PrevPerformance1To5,CurPerformance1To6,CSR1To5,EmployeeID
Emp1565,Baigoppa,Permanent,Active,Level10,97180.0,Bangalore,Retail,Leander Bence,CSS;Finance Auditing,15-11-2023,01-06-2023,0.0,No Allocation,3.0,2.0,2.0,
Emp1779,Manickavel,Permanent,Active,Level10,98642.0,Bangalore,Life Sciences,Vikram Pandit,Trace32;Finance Auditing,13-07-2023,31-08-2023,0.75,Partial Allocation,5.0,3.0,2.0,
Emp1880,Shukla,Permanent,Active,Level10,92528.0,Bangalore,eCommerce,Sujit Kamat,Finance Auditing;Django,01-02-2023,03-05-2023,0.75,Partial Allocation,4.0,4.0,2.0,
Emp2440,Geetika Rao,Permanent,Active,Level10,99922.0,Bangalore,Finance,UdayaBhanu,Accounts Auditing,24-05-2023,26-03-2023,1.0,Full Allocation,4.0,5.0,4.0,
Emp2448,Gokul,Permanent,Active,Level10,90762.0,Bangalore,Finance,UdayaBhanu,Finance Analyst,05-07-2023,13-01-2023,1.0,Full Allocation,3.0,4.0,2.0,
Emp2450,Govindarasu,Permanent,Active,Level10,72889.0,Bangalore,Finance,Bheema Samanth,Accounts Manager,19-06-2023,28-05-2023,0.25,Partial Allocation,4.0,2.0,5.0,
Emp2455,Gurpreet,Permanent,Active,Level10,90199.0,Bangalore,Finance,Bheema Samanth,Corporate Accountant,28-08-2023,16-08-2023,0.5,Split Allocation,4.0,4.0,5.0,
Emp2467,Jimmi,Permanent,Active,Level10,63111.0,Bangalore,Finance,Bheema Samanth,Finance Analyst,12-03-2023,06-09-2023,0.25,Partial Allocation,4.0,3.0,5.0,
Emp2477,Kamal,Contract,Active,Level10,78782.0,Bangalore,Finance,UdayaBhanu,Accounts Auditing,01-03-2023,29-04-2023,0.5,Split Allocation,3.0,4.0,2.0,
Emp2479,Karishma,Permanent,Active,Level10,88726.0,Bangalore,Finance,UdayaBhanu,Treasurer,27-04-2023,13-02-2023,1.0,Full Allocation,4.0,2.0,5.0,
Emp2483,Jambhali,Permanent,InActive,Level10,80788.0,Bangalore,Finance,Bheema Samanth,Finance Analyst,21-10-2023,23-05-2023,0.0,No Allocation,2.0,2.0,5.0,
Emp2489,Ravipati,Permanent,Active,Level10,59537.0,Bangalore,Finance,Bheema Samanth,Auditor,17-05-2023,14-04-2023,0.75,Partial Allocation,3.0,5.0,4.0,
Emp571,Narayana,Permanent,Active,Level10,99690.0,Bangalore,Digital Transformations,Tulsi Perumal,Finance Auditing,04-01-2023,20-05-2023,0.5,Split Allocation,2.0,1.0,3.0,
