    employee_id,    first_name,    employment_status,EmployeeStatus,    level,CurrentSalary,    work_location,DepartmentBU,ManagerName,    skills,    AllocationStartDate,    AllocationEndDate,Utilization,EmployeeStatus.1,PrevPerformance1To5,CurPerformance1To6,CSR1To5,EmployeeID
Emp1042,Dimpi,Permanent,InActive,Level7,234491.0,Bangalore,Digital Transformations,Satyendra Rao,Java;AzureDevOps,11-01-2023,18-03-2023,1.0,Full Allocation,1.0,3.0,5.0,
Emp1149,Keerthana,Permanent,InActive,Level7,160579.0,Bangalore,Digital Transformations,Badal Kotak,Deep Learning;Uipath,31-10-2023,30-01-2023,0.0,No Allocation,2.0,3.0,5.0,
Emp1179,Roshini,Permanent,InActive,Level7,141338.0,Bangalore,Digital Transformations,Badal Kotak,AWSDevOps,11-12-2023,10-06-2023,0.5,Split Allocation,2.0,5.0,4.0,
Emp1213,Deepa,Permanent,Active,Level7,147886.0,Bangalore,Digital Transformations,Badal Kotak,AzureArchitect;Azure Programming,01-12-2023,11-08-2023,0.0,No Allocation,3.0,4.0,2.0,
Emp1460,Abhishek,Permanent,InActive,Level7,302754.0,Bangalore,Digital Transformations,Tulsi Perumal,ioSAppTester,07-07-2023,18-03-2023,0.0,No Allocation,3.0,5.0,1.0,
Emp2176,Singhlopchok,Permanent,Active,Level7,236304.0,Bangalore,Digital Transformations,Satyendra Rao,Tableau,28-11-2023,28-04-2023,0.0,No Allocation,5.0,5.0,5.0,
Emp301,Hari,Contract,Active,Level7,246208.0,Bangalore,Digital Transformations,Tulsi Perumal,Business Integration Platform,15-03-2023,04-11-2023,0.25,Partial Allocation,4.0,1.0,4.0,
Emp513,Swapnil,Permanent,Active,Level7,270967.0,Bangalore,Digital Transformations,Badal Kotak,Deep Learning;Python,15-10-2023,03-05-2023,0.0,No Allocation,2.0,4.0,2.0,
Emp833,Sreenivasulu,Permanent,Active,Level7,283140.0,Bangalore,Digital Transformations,Satyendra Rao,SAP HANA;DBA- Relational,16-12-2023,14-06-2023,0.5,Split Allocation,3.0,1.0,1.0,
Emp858,Cheedella,Permanent,InActive,Level7,261012.0,Bangalore,Digital Transformations,Badal Kotak,AndroidAppTester,11-04-2023,07-09-2023,0.0,No Allocation,5.0,5.0,5.0,
