    employee_id,    first_name,    employment_status,EmployeeStatus,    level,CurrentSalary,    work_location,DepartmentBU,ManagerName,    skills,    AllocationStartDate,    AllocationEndDate,Utilization,EmployeeStatus.1,PrevPerformance1To5,CurPerformance1To6,CSR1To5,EmployeeID
Emp1039,Muthu,Permanent,Active,Level9,114734.0,Bangalore,Communications,Ghanshyam,Tableau,13-07-2023,29-04-2023,0.75,Partial Allocation,2.0,1.0,2.0,
Emp1051,Smruti,Permanent,Active,Level9,84444.0,Bangalore,Communications,Ghanshyam,Planisware;Planisware,25-06-2023,16-01-2023,0.25,Partial Allocation,3.0,5.0,2.0,
Emp1205,Swati,Permanent,InActive,Level9,90577.0,Bangalore,Communications,Indra Harish,TechLead,03-08-2023,28-06-2023,0.5,Split Allocation,1.0,5.0,1.0,
Emp129,Ajith,Permanent,InActive,Level9,100778.0,Bangalore,Communications,Gurbaksh,Data Modeling,22-08-2023,08-08-2023,0.5,Split Allocation,5.0,2.0,2.0,
Emp1353,Ramana,Contract,InActive,Level9,117799.0,Bangalore,Communications,Indra Harish,MobileApp,04-12-2023,20-04-2023,0.75,Partial Allocation,2.0,4.0,1.0,
Emp1502,Srinivasa,Permanent,Active,Level9,109313.0,Bangalore,Communications,Indra Harish,Web Application Platform,15-11-2023,19-06-2023,0.5,Split Allocation,2.0,3.0,2.0,
Emp156,Advait,Contract,Active,Level9,112661.0,Bangalore,Communications,Gurbaksh,IOTDeveloper;Office Administration,13-10-2023,09-07-2023,0.5,Split Allocation,1.0,5.0,3.0,
Emp1704,Banerjee,Permanent,Active,Level9,82407.0,Bangalore,Communications,Gurbaksh,ExcelMacros,21-02-2023,18-12-2023,0.25,Partial Allocation,4.0,1.0,1.0,
Emp1888,Bijpuria,Permanent,Active,Level9,102137.0,Bangalore,Communications,Indra Harish,C++,22-02-2023,02-05-2023,0.25,Partial Allocation,1.0,5.0,5.0,
Emp2305,Aishwarya,Permanent,InActive,Level9,104164.0,Bangalore,Communications,Ghanshyam,CSS,17-08-2023,03-07-2023,1.0,Full Allocation,3.0,4.0,4.0,
Emp606,Venkatarangaiah,Contract,Active,Level9,122822.0,Bangalore,Communications,Indra Harish,Embedded C,19-10-2023,09-05-2023,0.0,No Allocation,1.0,2.0,3.0,
