    employee_id,    first_name,    employment_status,EmployeeStatus,    level,CurrentSalary,    work_location,DepartmentBU,ManagerName,    skills,    AllocationStartDate,    AllocationEndDate,Utilization,EmployeeStatus.1,PrevPerformance1To5,CurPerformance1To6,CSR1To5,EmployeeID
Emp1065,Kalyani,Permanent,InActive,Level9,120375.0,Bangalore,Public Sector,Sant Singh,Software Architecture,28-12-2023,02-04-2023,0.5,Split Allocation,5.0,5.0,4.0,
Emp1613,Vidhate,Permanent,Active,Level9,90781.0,Bangalore,Public Sector,Sabeer Bhatia,Angular JS,16-02-2023,07-03-2023,0.25,Partial Allocation,2.0,1.0,1.0,
Emp255,Sushanth,Permanent,Active,Level9,95228.0,Bangalore,Public Sector,Jagdeesh Jindal,Deep Learning;AWS Programming,28-10-2023,26-10-2023,0.75,Partial Allocation,1.0,4.0,1.0,
Emp260,Kishan,Permanent,Active,Level9,103209.0,Bangalore,Public Sector,Sabeer Bhatia,Office Administration,18-06-2023,11-09-2023,0.25,Partial Allocation,3.0,3.0,4.0,
Emp284,Lokesh,Permanent,Active,Level9,122670.0,Bangalore,Public Sector,Jagdeesh Jindal,AWSDevOps,05-03-2023,11-03-2023,0.75,Partial Allocation,3.0,1.0,5.0,
Emp305,Maya,Permanent,Active,Level9,106803.0,Bangalore,Public Sector,Jagdeesh Jindal,Master Data Management,04-07-2023,21-11-2023,1.0,Full Allocation,2.0,1.0,3.0,
Emp443,Abhinav,Permanent,Active,Level9,89119.0,Bangalore,Public Sector,Sant Singh,ioSAppTester,19-05-2023,09-08-2023,0.5,Split Allocation,5.0,5.0,2.0,
Emp674,Jacob,Permanent,Active,Level9,124994.0,Bangalore,Public Sector,Jagdeesh Jindal,AndroidAppTester,23-07-2023,09-04-2023,0.5,Split Allocation,1.0,1.0,4.0,
Emp820,Barvey,Permanent,Active,Level9,122584.0,Bangalore,Public Sector,Jagdeesh Jindal,DBA - Nosql,22-05-2023,05-01-2023,1.0,Full Allocation,3.0,5.0,4.0,
Emp847,Nahar,Permanent,InActive,Level9,108567.0,Bangalore,Public Sector,Sant Singh,Kofax,07-05-2023,24-07-2023,0.5,Split Allocation,3.0,1.0,2.0,
